"ID_Band","TimePoint","AgeCategory","Sex","Mom_ID","Cohort","Treatment","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell"
4593,"Baseline","Older","M",4149,2,"B","No","180","170","No","0.3","0.4","No","U","56","3:00","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4593,"Treatment","Older","M",4149,2,"B","No","326","272","No","0.6","No","No","U","62","1:30","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA
4600,"Baseline","Older","M",4184,3,"B","No","170","170","No","0.6","0.7","No","No","63","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4600,"Treatment","Older","M",4184,3,"B","No","242","244","No","0.3","No","No","U","63","3:00","042224A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4601,"Baseline","Older","F",4184,3,"C","No","242","245","No","0.5","0.6","No","L","56","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4601,"Treatment","Older","F",4184,3,"C","No","143","133","No","1.8","No","No","U","56","1:21","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4604,"Baseline","Older","F",4184,3,"D","No","212","244","No","0.5","0.6","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4604,"Treatment","Older","F",4184,3,"D","No","220","204","No","0.5","No","No","U","62","2:09","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4608,"Baseline","Older","F",4124,1,"C","No","141","132","No","0.1","0.2","No","No","34","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA
4608,"Treatment","Older","F",4124,1,"C","No","255","244","No","0.6","No","No","U","54","3:00","042224A","",113,"",NA,NA,NA,NA,NA,NA,NA
4612,"Baseline","Older","F",4412,1,"E","No","223","283","247","0.4","0.3","No","U","50","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA
4612,"Heat","Older","F",4412,1,"E","No","300","290","No","1.3","No","No","U","50","1:02","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA
4612,"Treatment","Older","F",4412,1,"E","No","253","242","No","0.6","No","No","U","51","2:27","031324A","",113,"Fatty",NA,NA,NA,NA,NA,NA,NA
4613,"Baseline","Older","M",4412,4,"B","No","234","238","No","0.7","No","No","U","56","2:46","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4613,"Treatment","Older","M",4412,4,"B","No","227","227","No","0.6","No","No","L","56","3:00/4:00","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4614,"Baseline","Older","M",4340,1,"B","No","188","179","No","No","No","No","No","55","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA
4614,"Treatment","Older","M",4340,1,"B","No","294","292","No","0.6","No","No","U","58","3:00","031324A","",113,"",NA,NA,NA,NA,NA,NA,NA
4619,"Baseline","Older","F",4470,3,"E","No","281","279","No","0.6","0.6","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4619,"Heat","Older","F",4470,3,"E","No","296","306","No","0.4","No","No","U","56","2:41","031324A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
4619,"Treatment","Older","F",4470,3,"E","No","324","312","No","0.6","0.6","No","U","52","No","050124A","75001L04",113,"",NA,NA,NA,NA,NA,NA,NA
