ID_Band,TimePoint,AgeCategory,Age_PreBleed,Age_Treatment,Sex,Mom_ID,Cohort,Outcome,Outcome_Detail,Glucose_1,Glucose_2,Glucose_3,Ketone_1,Ketone_2,Plasma_Color,Hematocrit,BleedTime_Min,Blood_SQ.Mean_SCNAG,Blood_SQ.Mean_mtDNA,Blood_mtDNA.Mean,Blood_Cq.Mean_SCNAG,Blood_SQ.Mean_Telomeres,Blood_Cq.Mean_Telomeres,Blood_Telomeres.per.cell,CORT.ng.mL.,RNASeq_DataAvailable
4761,Baseline,Pubescent,126,140,F,4290,8,Succumbed,Died,206,208,No,0.5,No,L,54,1:55,NA,NA,NA,NA,NA,NA,NA,1.532691351,Yes
4764,Baseline,Pubescent,137,151,M,4564,11,No,NA,224,204,No,0.6,0.5,U,No,2:50,NA,NA,NA,NA,NA,NA,NA,NA,No
4765,Baseline,Pubescent,125,139,F,4564,8,No,NA,308,290,No,0.5,No,L,54,3:00/6:00,NA,NA,NA,NA,NA,NA,NA,0.000500511,No
4766,Baseline,Pubescent,127,155,F,4564,9,No,NA,175,218,No,0.6,No,No,No,3:00,NA,NA,NA,NA,NA,NA,NA,1.532691351,No
4768,Baseline,Pubescent,121,135,F,4171,7,Succumbed,Died,203,202,No,0.5,No,U,56,1:15,248.4030028,63.52162325,0.25572003,23.62920435,145122.3305,15.4100183,584.2213212,NA,Yes
4769,Baseline,Pubescent,134,148,M,4171,11,No,NA,140,158,No,0.3,0.3,Y,56,1:40,NA,NA,NA,NA,NA,NA,NA,1.17900525,No
4771,Baseline,Pubescent,122,136,M,4542,8,No,NA,224,222,No,0.4,No,U,52,1:14,NA,NA,NA,NA,NA,NA,NA,1.532691351,No
4772,Baseline,Pubescent,122,150,F,4542,8,No,NA,233,219,No,0.5,No,U,52,2:24,NA,NA,NA,NA,NA,NA,NA,0.39931785,No
4773,Baseline,Pubescent,122,136,F,4542,8,No,NA,204,192,No,0.6,No,U/L,56,1:35,NA,NA,NA,NA,NA,NA,NA,0.837182101,No
4774,Baseline,Pubescent,126,140,F,4564,9,Succumbed,Died,243,224,No,0.4,No,No,No,3:00,NA,NA,NA,NA,NA,NA,NA,0.658007705,Yes
4775,Baseline,Pubescent,118,132,F,4171,7,Succumbed,Died,182,192,No,0.4,No,U,58,2:12,216.3703407,27.55913171,0.127370191,23.815145,159320.417,15.25185885,736.3320519,NA,Yes
4776,Baseline,Pubescent,120,135,F,4542,8,No,NA,203,186,No,0.4,No,U/L,52,3:00,NA,NA,NA,NA,NA,NA,NA,2.662846779,No
4777,Baseline,Pubescent,116,144,F,4364,7,No,NA,210,205,No,0.5,No,U,50,2:30,NA,NA,NA,NA,NA,NA,NA,0.519557671,No
4778,Baseline,Pubescent,129,143,M,4364,11,No,NA,292,287,No,0.3,0.3,U,46,2:41,NA,NA,NA,NA,NA,NA,NA,2.286843914,No
4782,Baseline,Pubescent,118,133,F,4127,8,No,NA,232,194,146,0.4,No,U/L,56,3:00/5:00,NA,NA,NA,NA,NA,NA,NA,0.578663886,No
4783,Baseline,Pubescent,120,134,M,4127,9,No,NA,230,233,No,0.5,No,U,60,1:48,NA,NA,NA,NA,NA,NA,NA,0.631540734,No
4784,Baseline,Pubescent,115,143,F,4127,8,No,NA,320,317,No,0.7,No,L,52,3:00/4:05,109.4248156,28.94593675,0.264528084,24.77242396,165005.4141,15.19324229,1507.93413,0.988118686,Yes
4785,Baseline,Pubescent,121,149,F,4124,9,No,NA,No,No,No,No,No,No,No,3:00/5:35,NA,NA,NA,NA,NA,NA,NA,NA,Yes
4787,Baseline,Pubescent,123,137,M,4124,10,No,NA,No,No,No,No,No,U,50,3:00,NA,NA,NA,NA,NA,NA,NA,0.658007705,No
4788,Baseline,Pubescent,124,138,M,4432,10,No,NA,258,212,No,0.3,No,U,54,3:00,NA,NA,NA,NA,NA,NA,NA,0.735578673,No
4791,Baseline,Pubescent,118,132,M,4127,9,No,NA,263,210,No,0.4,No,No,No,1:54,NA,NA,NA,NA,NA,NA,NA,0.631540734,No
4792,Baseline,Pubescent,122,136,F,4168,10,No,NA,198,195,No,0.5,No,U/L,56,2:23,117.6715199,60.4338314,0.513580784,24.6742961,123224.7622,15.68002101,1047.192747,1.413558676,No
4795,Baseline,Pubescent,121,135,F,4432,10,No,NA,207,194,No,0.5,No,L,52,2:34,NA,NA,NA,NA,NA,NA,NA,1.532691351,No
4797,Baseline,Pubescent,116,130,F,4388,9,No,NA,215,215,No,0.4,No,U,53,1:50,NA,NA,NA,NA,NA,NA,NA,0.265354158,No
4798,Baseline,Pubescent,122,136,F,4168,10,Succumbed,Died,235,227,No,0.6,No,L,52,3:00/4:18,120.3870362,71.40472218,0.59312634,24.63754749,192177.3553,14.94719264,1596.329317,NA,Yes
4800,Baseline,Pubescent,123,137,M,4594,12,No,NA,225,No,No,No,No,U/L,52,3:00/4:15,NA,NA,NA,NA,NA,NA,NA,NA,No
4802,Baseline,Pubescent,114,128,F,4594,10,Succumbed,Died,169,171,No,0.4,No,U ,52,1:49,233.075745,72.8484454,0.312552666,23.71191016,119619.5033,15.75002697,513.2215851,NA,Yes
4803,Baseline,Pubescent,121,135,M,4594,12,No,NA,No,No,No,No,No,U/L,54,3:00,NA,NA,NA,NA,NA,NA,NA,0.423809289,No
4804,Baseline,Pubescent,115,129,M,4601,12,No,NA,No,No,No,No,No,U/L,56,3:00,NA,NA,NA,NA,NA,NA,NA,0.064070722,No
4805,Baseline,Pubescent,113,127,F,4601,11,No,NA,234,266,242,0.5,0.4,U,50,2:35,NA,NA,NA,NA,NA,NA,NA,1.996563256,No
4809,Baseline,Pubescent,111,125,F,4601,11,No,NA,182,185,No,0.6,0.6,U,57,1:26,NA,NA,NA,NA,NA,NA,NA,0.551112176,No
4810,Baseline,Pubescent,114,128,F,4601,12,Succumbed,Died,201,185,No,0.6,No,U/L,54,1:35,85.19956238,15.22123646,0.178653928,25.1242866,94429.19265,16.12433731,1108.32955,NA,Yes
4814,Baseline,Pubescent,111,125,F,4184,11,No,NA,174,140,No,0.7,0.6,U/L,55,2:50,NA,NA,NA,NA,NA,NA,NA,0.682268713,No
4816,Baseline,Pubescent,113,127,M,4340,12,No,NA,249,256,No,0.3,No,U,50,2:04,NA,NA,NA,NA,NA,NA,NA,0.658007705,No
4817,Baseline,Pubescent,114,128,F,NA,12,Succumbed,Unconscious,237,249,No,0.3,No,U,54,2:05,166.9956374,48.98423167,0.293326415,24.1803855,155622.5843,15.29069829,931.8961064,0.423809289,Yes
