"ID_Band","TimePoint","AgeCategory","Sex","Mom_ID","Cohort","Treatment","Died_InTrt","Glucose_1","Glucose_2","Glucose_3","Ketone_1","Ketone_2","Ketone_3","Plasma_Color","Hematocrit","BleedTime_Min","Glucose_Meter_Lot_Number","Ketone_Meter_Lot_Number","Room","Notes","Blood_SQ.Mean_SCNAG","Blood_SQ.Mean_mtDNA","Blood_mtDNA.Mean","Blood_Cq.Mean_SCNAG","Blood_SQ.Mean_Telomeres","Blood_Cq.Mean_Telomeres","Blood_Telomeres.per.cell"
4604,"Baseline","Older","F",4184,3,"D","No","212","244","No","0.5","0.6","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4608,"Baseline","Older","F",4124,1,"C","No","141","132","No","0.1","0.2","No","No","34","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA
4612,"Baseline","Older","F",4412,1,"E","No","223","283","247","0.4","0.3","No","U","50","","031324A","",118,"",NA,NA,NA,NA,NA,NA,NA
4613,"Baseline","Older","M",4412,4,"B","No","234","238","No","0.7","No","No","U","56","2:46","031324A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4614,"Baseline","Older","M",4340,1,"B","No","188","179","No","No","No","No","No","55","","022723A","",114,"",NA,NA,NA,NA,NA,NA,NA
4619,"Baseline","Older","F",4470,3,"E","No","281","279","No","0.6","0.6","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4620,"Baseline","Older","F",4470,3,"B","No","253","254","No","0.5","0.5","No","U","No","","","",118,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4621,"Baseline","Older","F",4470,3,"D","No","259","265","No","0.7","0.7","No","U","52","","","",114,"Lot numbers not marked in data sheet but bleeds before and after this date, use the same lot numbers.",NA,NA,NA,NA,NA,NA,NA
4625,"Baseline","Younger","F",4450,4,"E","No","241","240","No","0.3","0.3","No","U","58","1:46","031324A","75001L04",118,"",974.062733235044,63.2147540570181,0.0648980316155512,21.6997213511473,353530.225473754,13.9342085551652,362.944000844395
4703,"Baseline","Younger","F",4112,5,"B","No","178","183","No","1.8","1.8","No","U","58","1:20","042224A","75001L04",118,"",NA,NA,NA,NA,NA,NA,NA
4704,"Baseline","Younger","F",4112,5,"C","No","263","243","No","0.7","No","No","U","56","3:00","031324A","75001L04",114,"",NA,NA,NA,NA,NA,NA,NA
