"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"MGAT1",8402.72097649802,-0.495219767928138,0.16882049911668,-2.93341016357183,0.00335260661959105,0.256319120924056
"LOC140682084",307.536631265832,-0.802238452682403,0.273570411787241,-2.93247521704326,0.00336271759846695,0.256319120924056
"NDUFAF3",349.813376404968,0.714218256377174,0.243641313616002,2.93143328517281,0.00337401827916201,0.256319120924056
"CRYBG3",1619.37246240566,0.655988158465409,0.224064837377959,2.92767114261159,0.00341511050437945,0.257413954267601
"CAMK2B",298.782749764653,-0.689955655111209,0.235876493597437,-2.92507169573555,0.00344376871245151,0.257561864633583
"ARMC6",1767.48129604924,0.401350535570375,0.13743408860612,2.92031285426302,0.00349680149316854,0.259516467739154
"PSMC2",11354.7650378535,-0.319251693026421,0.109663280556658,-2.91119955016737,0.00360043991255756,0.265168276918743
"ZNF106",1946.22860647394,-0.558298300991789,0.192085294066431,-2.90651246210814,0.00365482340340802,0.267134365121822
"LOC140681361",1387.80476881843,-0.977347103851605,0.336666145792681,-2.90301569096126,0.00369588119226829,0.268104223631612
"LOC121469084",88842.1416537852,1.51222851073501,0.52324620192061,2.89008979937985,0.0038513179378711,0.269935240147658
"LOC140681649",110376.477363492,1.52991219135897,0.529378580906773,2.89001528686405,0.00385223093175862,0.269935240147658
"SSH3",873.931162364272,-1.04728723698842,0.362511886834357,-2.88897350686587,0.00386501636008928,0.269935240147658
"LOC140681141",103.484671796125,-0.863019981654802,0.298998045266001,-2.88637332356813,0.00389709591982266,0.269935240147658
"LOC100221763",249.596366067323,-0.601940821383395,0.208637087255205,-2.88510939882468,0.00391277668114959,0.269935240147658
"LOC140681641",100844.742909278,1.52220031044265,0.527753408189382,2.8843021889049,0.00392282121755712,0.269935240147658
"LOC140681643",113434.930041381,1.53840447746719,0.533552832462839,2.8833217328564,0.00393505304114785,0.269935240147658
"FAAP100",312.922801428057,-0.942252264237897,0.326883707056703,-2.88253052659626,0.00394494909419774,0.269935240147658
"LOC140681642",100407.635042742,1.51853413706677,0.527249386035782,2.88010603195604,0.00397541448490509,0.270104217960312
"ESRRB",108.333291351867,1.98825920076557,0.69238768728311,2.8715981483833,0.00408401937604631,0.272260093681568
"E4F1",10049.6517041559,-0.393489108277417,0.137075966964386,-2.87059151937006,0.00409704578295126,0.272260093681568
"LOC140685058",219.209769905567,0.688198712158948,0.240211410270616,2.86497094948005,0.00417047499889312,0.272260093681568
"LOC101233001",547.166882944241,1.2330791071451,0.431268421457174,2.85919173719876,0.00424721986677244,0.272260093681568
"DDX23",12157.7724644806,-0.318753641483811,0.111633581207957,-2.85535622914416,0.00429885812904359,0.272260093681568
"TSPOAP1",301.011785653409,0.689429849676486,0.241637120133107,2.8531620029932,0.00432865481693563,0.272260093681568
"LOC100219814",142.085866361294,0.563176397977939,0.197452689463798,2.85220930394668,0.00434165027941439,0.272260093681568
"LOC140681659",97801.2843653444,1.47336349972253,0.516629610529488,2.85187583075715,0.00434620743087356,0.272260093681568
"LOC140681639",103480.869280643,1.61844030608907,0.567504872568608,2.85185270527066,0.00434652361804266,0.272260093681568
"RPAP1",2392.37046937345,-0.482904993028786,0.169488965780347,-2.84918248692731,0.0043831731627661,0.272260093681568
"LOC100225248",434.73729151655,0.453644829378877,0.159221886895514,2.84913612207455,0.0043838120009854,0.272260093681568
"FBN1",185.213197559462,-1.58938789767425,0.557902341748894,-2.84886400134455,0.00438756311858306,0.272260093681568
"LOC140681645",101244.191598517,1.52685369964697,0.535976361844966,2.84873328068267,0.00438936610515812,0.272260093681568
"PGLS",2018.21105831131,0.775644866732622,0.272513500317333,2.84626216987199,0.00442357589506343,0.272260093681568
"LOC140681654",94716.4992336628,1.46433668491443,0.514602918265232,2.84556622774473,0.00443325395521377,0.272260093681568
"LOC140681640",97868.4311318157,1.502876434329,0.528484717913671,2.84374624920469,0.00445865410465255,0.272260093681568
"SMARCC2",11533.7844295641,-0.364264900645193,0.128322573645716,-2.83866579586292,0.00453025776532133,0.272935383165616
"INTS14",142.106976922701,0.576321254608439,0.20331495735461,2.83462300121507,0.00458797923527466,0.272935383165616
"LOC140681644",100782.086747521,1.52001877596421,0.53630503846032,2.83424295309259,0.00459343952265158,0.272935383165616
"LOC140681653",105037.130752492,1.49674450251762,0.528171861177983,2.83382098239658,0.00459950902109756,0.272935383165616
"LOC140681646",103881.261609504,1.49856701624281,0.5289659199437,2.83301241108748,0.00461115956218859,0.272935383165616
"RSBN1",822.118912612648,0.503170716944609,0.17801265922614,2.82660075486768,0.00470449416346616,0.274730236547404
"LOC140681657",101447.78583612,1.44802451637908,0.512544895445895,2.82516620347834,0.00472560967651789,0.274730236547404
"POLL",232.893915066389,0.647393666623384,0.229548604882698,2.82029013835309,0.00479802458767967,0.274730236547404
"LOC121470381",307.222746661584,1.62844740342584,0.577668955499032,2.81899760740833,0.00481738772061873,0.274730236547404
"PDP1",295.063528376912,0.634129550921093,0.225531541355485,2.81171115627491,0.00492787337800719,0.274730236547404
"AKT1",352.769897266214,0.443497032744402,0.15782157405707,2.81011664846296,0.00495235472011798,0.274730236547404
"WSB1",6544.31759456565,-0.752135107106127,0.267863110147198,-2.80790851227258,0.00498643906876044,0.274730236547404
"ISY1",3702.99610522297,-0.386468670593187,0.13788180305668,-2.8028982942319,0.00506456378062402,0.274730236547404
"LOC140682449",314.284394883636,0.79908436906804,0.285094977129081,2.80287073842849,0.00506499650296785,0.274730236547404
"EIF5B",28567.3744497333,-0.548088009831274,0.195621699154027,-2.80177512107042,0.0050822286278848,0.274730236547404
"NOL10",458.531329390253,0.630166340777736,0.224941353306921,2.80146950088767,0.005087044937455,0.274730236547404
"LOC115490792",111.526317103208,0.750452969850344,0.267889521304914,2.80135246124902,0.00508889047313736,0.274730236547404
"CRNKL1",2565.78401238059,-0.434219278474473,0.15512928249234,-2.79908004148678,0.00512484320634822,0.274730236547404
"LOC121470857",387.45974529004,0.736818001099703,0.263290290512929,2.79850046754201,0.00513404951115323,0.274730236547404
"ZFAND5",1012.78118019987,-0.466489077418785,0.166700945637441,-2.79835891533187,0.00513630028234501,0.274730236547404
"LOC140681480",117.224474414406,-0.999858744895172,0.357399894034168,-2.79759105020771,0.00514852537862703,0.274730236547404
"EEF2KMT",928.401306756471,-1.10810516236472,0.396182468408162,-2.796956581186,0.00515864652387899,0.274730236547404
"THAP12",2632.35760228133,-0.398888935082437,0.142738948843207,-2.79453462642912,0.00519744743840365,0.274730236547404
"LOC140681660",96754.0347118114,1.42846049456551,0.511226551639324,2.79418291163661,0.00520310395814286,0.274730236547404
"ELK3",123.917960931889,0.53641723283359,0.19201007673815,2.79369313291364,0.00521099018326855,0.274730236547404
"RPS6KA5",487.489178732987,0.556334150887553,0.199265561394256,2.79192323547982,0.00523957848589006,0.274736158868844
"TYW1B",704.164015971113,0.460274830733582,0.165274637487872,2.78490903220016,0.00535427420269423,0.277790017073411
"LOC105760267",179.030642982126,0.741233215624647,0.266243299696135,2.78404458054201,0.00536856547038463,0.277790017073411
"PCNX4",107.328511369856,1.43733556606983,0.51645101743253,2.78310143179765,0.00538419705563099,0.277790017073411
"NSRP1",2316.65036006753,-0.627525218601621,0.225775318405545,-2.77942346857614,0.00544554836053939,0.279026611355091
"FAM78A",1120.15241693065,0.672528963360695,0.242195165528638,2.77680589491855,0.00548959517597898,0.279026611355091
"TMEM276",197.350139406897,-1.32371925878383,0.476966516640047,-2.77528759903036,0.00551529117705244,0.279026611355091
"HSP90AA1",4532.11546398885,0.696263811648979,0.250925460497275,2.77478343675906,0.00552384771650316,0.279026611355091
"THRAP3",8265.00408172165,-0.343524320748498,0.12417875410326,-2.76636952294467,0.00566842632247655,0.284836457936476
"LOC140681651",98482.990936763,1.37759663051176,0.498284750688113,2.76467748332523,0.00569791007273423,0.284836457936476
"PURB",7481.11011520229,-0.429135414430471,0.155734977441444,-2.7555493408141,0.00585936662890671,0.291397779565423
"LOC100224487",689.157448998702,-0.76271825319166,0.277075127170426,-2.75274890597639,0.00590972032807602,0.291946915858601
"C5H11orf16",1043.90013632255,-0.504315625569172,0.183282472362478,-2.75157585484654,0.00593092822432482,0.291946915858601
"DDX39B",8592.48477313371,-0.326458905131075,0.118747572464793,-2.74918382207659,0.00597438706936737,0.292593332209423
"IBA57",2932.60589005639,0.44874475888325,0.163499530842963,2.74462413787754,0.00605802375318326,0.292747743455859
"PES1",3926.89576650819,-0.756266244638967,0.275716734682454,-2.74291020278464,0.00608973360874513,0.292747743455859
"LOC140681658",106198.855180906,1.56232860823398,0.570041827579747,2.74072626366249,0.00613035569002266,0.292747743455859
"PNISR",7457.35193232414,-0.410683634131122,0.149874331052475,-2.74018660331722,0.00614043110147401,0.292747743455859
"LOC115497013",98.7429482831355,1.46443028244936,0.534649073786907,2.73904950788904,0.00616170940357001,0.292747743455859
"AGPAT5",826.401614663428,0.459335272629298,0.167771640834791,2.73786004800189,0.00618403862841836,0.292747743455859
"LOC140681731",352.727486595473,-0.786429344673208,0.287571788801432,-2.73472355529366,0.00624326846299177,0.292747743455859
"PCOLCE",235.497448506021,-0.668083853020819,0.244303110358817,-2.73465144197133,0.00624463624382135,0.292747743455859
"DGAT1",1342.85657363997,-0.759242581747897,0.27778203953687,-2.73323136014747,0.00627162610194904,0.292747743455859
"METTL5",1075.69445727569,-0.625746646324815,0.22902631120788,-2.73220418660476,0.00629121380341607,0.292747743455859
"COMMD2",1731.36243269784,-0.416878128292511,0.152638130069824,-2.73115327147816,0.00631131121878303,0.292747743455859
"CDC6",1144.90094492514,-0.518163237353586,0.190050642377065,-2.72644822912799,0.00640199947588336,0.295411530607538
"OARD1",2029.74792429694,-0.401203733565509,0.147302242459514,-2.72367702532281,0.00645596064156899,0.295411530607538
"TSEN54",1405.33797241981,-0.56411632620011,0.207133750030528,-2.72343993249274,0.0064605962850529,0.295411530607538
"LOC140681656",107582.680421708,1.44791734813069,0.532297891348746,2.72012602654114,0.00652570400344364,0.296981095402001
"HAUS5",2574.20362078042,-1.05383679186746,0.38780732926642,-2.71742360790578,0.00657923413921853,0.297042072944346
"PDCD2L",174.803197338266,-0.872793111248569,0.321239818961954,-2.71695182144259,0.00658861977716522,0.297042072944346
"NIPSNAP2",432.54307348819,-0.34650778134439,0.127646464054402,-2.71458973745414,0.0066357919528495,0.297777305865544
"DDX51",514.706895156502,-0.558125315033538,0.205907280954293,-2.71056619487598,0.00671684398792419,0.300019031460614
"GMPPA",3750.33101878476,0.748622181834774,0.277046171190642,2.70215675104793,0.00688912754209217,0.306296325005093
"TMED2",3673.40000069567,-0.350708694445813,0.129926679824878,-2.69928158649568,0.00694893521654744,0.30753819710665
"NADSYN1",743.372996026166,-0.783911575289887,0.291685594728711,-2.68752241953869,0.00719842697669429,0.316790660920368
"KRI1",3196.62598390732,-0.711053399706199,0.264690954029611,-2.68635323149976,0.00722366764121901,0.316790660920368
"TIAL1",4517.05050452945,-0.355721228093136,0.132585393303647,-2.6829594062331,0.00729738474259304,0.317573908247637
"ITGA3",256.75053896118,0.659531935624204,0.245897032329843,2.68214678874009,0.00731513542157972,0.317573908247637
"TEX264",524.702034414222,0.743265763276905,0.277411370133905,2.67929091341186,0.00737782640550937,0.317573908247637
"KIAA1755",1424.93537234055,0.913319384055786,0.341272437488987,2.67621783574379,0.00744582327493201,0.317573908247637
"RNF41",3591.12985172398,-0.454045756297222,0.16967992077265,-2.67589561705175,0.00745298534715279,0.317573908247637
"TBL2",1061.94256427541,-0.375893473714013,0.140573282164265,-2.67400367926792,0.00749516291957375,0.317573908247637
"LOC140681477",210.833201221958,-0.704741718085995,0.263802102674819,-2.6714787749615,0.00755178482252294,0.317573908247637
"VPS8",532.032106991778,0.455237329112255,0.170412470644335,2.67138506584048,0.00755389364542233,0.317573908247637
"SELENOT",3836.46632302585,-0.365657870215897,0.136901409768451,-2.6709576682545,0.00756351846517206,0.317573908247637
"KHDC4",3658.23285940963,-0.501816971112449,0.187901418438896,-2.67063961135364,0.00757068811121024,0.317573908247637
"ABCB10",6223.85312731706,0.36717365618268,0.137772252509123,2.66507696212898,0.00769707052852302,0.319387893826329
"LOC116808714",674.52316283986,-1.27733881744124,0.479410911041287,-2.66439246171272,0.00771275219793484,0.319387893826329
"RENBP",692.300821925663,-0.781677649185392,0.293434843827199,-2.66388830648113,0.00772432052500463,0.319387893826329
"SRSF7",2724.50325313677,-0.363991893232738,0.136745910590489,-2.66181190838517,0.00777212954770732,0.319387893826329
"AFG2B",648.331958247923,-0.845803522750641,0.317992880655773,-2.65981905320145,0.00781826417475882,0.319387893826329
"GIPC1",908.345982016467,-0.695854043078002,0.261724392667808,-2.65872827513334,0.00784361946211305,0.319387893826329
"HYOU1",4739.68514783433,-0.319065722599988,0.120012246964667,-2.65860968917552,0.00784638044394488,0.319387893826329
"SUCLG2",156.771564763454,0.655897019062456,0.246835652905263,2.65722156156345,0.00787876437921501,0.319387893826329
"GRK2",5458.5197263394,-0.435813815452947,0.164171815162595,-2.65462019178699,0.00793977487583679,0.319676103850463
"VRK3",817.067285969934,-1.18033777523625,0.444723246264786,-2.65409506957386,0.00795214188682744,0.319676103850463
"SRF",2466.47508518711,0.458461763919774,0.172936447029498,2.65104188153914,0.0080243890320772,0.321241931043489
"TMEM167B",682.052639500496,-0.714961124179863,0.269862791545757,-2.64935050914063,0.00806466419510581,0.321497072942617
"PPP2R5C",3180.83291255262,0.369945406725691,0.139773438665407,2.64675041451384,0.00812693096126554,0.321497072942617
