ZF_4625_B_BL	ZF_4719_B_BL	ZF_4720_B_BL	ZF_4737_B_BL	ZF_4738_B_BL	ZF_4739_B_BL	ZF_4745_B_BL	ZF_4761_B_BL	ZF_4768_B_BL	ZF_4774_B_BL	ZF_4775_B_BL	ZF_4784_B_BL	ZF_4785_B_BL	ZF_4798_B_BL	ZF_4802_B_BL	ZF_4810_B_BL	ZF_4817_B_BL
CCT8	8.93418570992989	9.5848205570169	9.22201666854681	9.45424334126737	9.42310886980762	9.52117412515958	9.63214947849348	9.32090027030439	9.24012259292827	9.90820799290044	9.15561063644125	9.41331805696934	9.18957818938745	9.56634593222713	8.79409436856625	9.22697122809636	9.03915655880712
BACH1	13.9215043891992	13.7993597428693	13.0683051217748	13.3993541826469	13.0091608722852	13.8397845159559	13.4752070210551	14.2536438935472	14.3021737124832	13.9045927292948	14.9825052669376	14.0694799206446	14.8479713170835	14.1020162319876	14.5904847199661	13.3602268416347	15.1982277829067
PAXBP1	12.4236837295408	11.8191241499017	12.5662505914304	12.3146852876353	12.2782769531984	12.2971585666766	12.4694010989349	11.9889875495558	12.0324671104715	12.4638294661924	12.1073477419882	11.9743449552492	12.2832202414567	12.138367891581	12.3396973691388	12.0380031766352	12.5129223366725
DGAT2	6.94599086431014	7.28674629147236	5.56041997526237	6.68768231343151	6.92558099315224	7.03477000856697	7.2014026428601	6.9001380435311	7.58024945713742	7.13917532089105	7.19160265384178	6.57934763388261	5.98842275325078	7.53522361198456	7.13081758309852	7.31916039220358	7.16239878065898
UVRAG	10.4744153789157	10.4821205142101	10.0442010602015	10.3235041752746	10.2673516515254	10.4360813263434	10.3384143324775	10.534509254628	10.3497567905596	10.025341706333	10.4360821854338	10.2792532897325	10.248634519968	10.0884968412864	10.0884409317313	10.362474619741	10.3038629317323
APP	9.61227878283841	9.87078653761484	10.7398168543365	9.29625205618823	9.24414311367991	9.46477447743957	9.92411742802788	10.2765025310674	9.71550040968227	10.2473577353114	9.78537125514636	9.79321893937515	9.36858172932269	9.15483506806492	9.55112866318192	9.48414637653186	10.052126453683
MRPL39	7.08243026853944	7.23499742538811	7.44248959754753	6.84587206181198	6.52802004154029	5.69976740985151	7.21111742910324	6.84735004335586	5.69636315234288	6.37802558244268	6.62173008078979	7.33109440778947	7.02106295655912	7.88655023259798	6.32026192925197	6.60067467924607	7.12341714739692
GABPA	11.9913245669295	12.1198172611634	11.9759031347663	11.6907449674415	12.0373898672631	12.4773124877549	11.518396350814	12.5408616486911	12.2005564773298	12.4548076878379	12.0364660858817	11.9790265307952	12.5104884321565	11.8468851125589	12.1965666841547	12.1038150339111	12.3084477071217
ATP5PF	12.7915972719659	12.4805307663389	11.7574123825596	12.4496445019223	12.3632635889482	12.6042640284102	12.0062655633239	12.2322824057735	12.6256734970283	12.0855328046385	12.2110148524301	12.1063136749268	12.2030341345654	12.3580816409886	12.2540809196801	12.3449569625631	12.5517496304934
C1H21orf91	6.25580895411413	7.46802543383666	6.84379023796377	5.608341787133	6.95592031856444	6.94337707445741	5.71996816979272	6.92072403820866	7.13463699408694	6.98316958495218	6.42683553264156	5.73644711227084	7.24186769086787	6.85897569918981	6.15831615548991	6.66145570371104	5.97855470058076
USP25	6.21680492266395	7.19221888229495	6.33074428666844	6.89935054401035	6.87355305112587	6.56837783729734	6.20145756172962	7.40274463863299	7.59977638699326	8.02324296794078	7.61438646374082	7.72652697211725	7.71387331291899	7.23636513856611	7.34171184476236	7.32856167345506	7.4333478428179
RNF121	9.33564785570784	9.76346812261762	9.66536543789648	9.79484721186166	9.71978376845908	9.58556262232295	10.2598580330812	9.22484052028162	8.82068894560362	9.38437079029072	8.98894930598749	9.19398797886341	8.82668011164185	9.64415680546593	9.35945727362489	9.44794175683999	8.82808538569407
INPPL1	9.06621904011095	9.28489870986967	10.1679045483349	8.61056555300944	8.44673340309948	7.59118483689703	9.31383515181622	9.13078788386211	8.94803300683712	10.6634378254846	8.98008868188032	8.52041905555652	8.72048644031691	8.80318406085404	9.64125936482762	9.00456113700444	9.95971289556597
ARAP1	8.47021719875025	8.27701062331244	9.50398684993685	7.55299751890439	7.68622074055722	8.11552411869469	8.5076164032825	8.37628916401299	7.7206392490851	9.58597733545801	8.10750532820268	7.81789948504501	8.62738242098699	8.03961374144575	8.76906040467548	8.63186578381679	8.75982307741337
EMSY	12.7004356054805	12.3174955686283	12.4276972549242	12.0768286975071	12.2203538074127	13.155501635033	12.6015361312603	13.0123792002909	12.2053444951421	11.7208722113913	12.6267649836769	12.7038659383574	12.6989623671161	12.165009639387	12.2931406805412	12.6796280973808	12.4498204563551
NUMA1	13.7571827056812	13.6067927451205	13.6798491114916	13.5371355612876	13.9211449519752	13.7054157558047	14.1198891312496	13.8864691888617	13.6750108017945	13.4385766145474	13.8356156619366	13.3674778558304	14.02621613371	13.8300385408509	13.7475470335218	13.4681039025314	14.1014079128955
LAMTOR1	11.8653662186848	11.936360665379	12.0003178287086	12.1023515679868	12.2765250954268	12.3614603408955	11.9695340621619	11.6686703472499	12.3593471875915	11.5849928784325	12.2279548462795	11.9604869050074	11.8063055973449	12.0466625706174	11.512459966443	11.8847243462079	12.1068157784696
ANAPC15	10.2952866713423	10.2502464709701	9.76846802182936	10.067281445299	10.4283827203011	10.4596361572068	9.99471729432881	10.0696930153534	10.3797169170993	9.45660544594968	10.111712639825	10.6669487747134	9.91245979069805	10.3450430420826	9.99316962179972	10.18364920892	9.79893046106515
CLPB	11.2319112248169	11.1897524889212	11.0574009116242	10.9407407159021	11.7567009130232	11.0346023078563	10.5598557863911	11.5117213358949	11.0926111147651	10.4160786038379	11.12720301965	11.6777288382153	11.0766696062854	10.7155617481942	10.4773335439278	10.5837293601215	11.874922468008
STARD10	7.38473834943164	8.84151389315689	8.3837051552024	7.10681464305351	8.0843273162456	6.74114267449899	6.60668714143896	7.74622089253177	7.23794567011512	8.17067829987635	6.68125299348317	8.65866434811557	8.67640787802953	8.79133665143339	7.61579866810612	8.64321201183959	8.79125233619221
ARRB1	10.543032892478	10.5172054043572	11.4744493383819	9.70759610679382	9.93179117890429	10.3030056855416	10.5075997467689	10.576468595307	9.67004074940804	11.0152388448732	9.72831052605583	10.4276525305616	9.9556564371492	11.5929149003503	10.459188138352	10.5102430626852	10.588696985383
